CUID,RUID,SSN,first.name,middle.initial,last.name,street.number,street.name,apartment.number,city,state,zipcode
8663,8663,446863071,Ofelia,Y,Jene,636,Lorita Ln,5q7,Tacoma,WA,98421
13174,23616,0,Sigl,V,Oliverio,337,Charle,8q8,Jenkins,MN,56456
540,10443,362601178,Horta,D,Melantha,674,Rohner St,2r0,Laneville,TX,75667
17426,25026,415384324,Kwing,S,Diethard,691,Adahwai Rd,7g8,Libertyville,IA,52567
2345,2345,206084566,Murash,N,Holzapfel,687,Inger Rd,3h6,Hyde Park,UT,84318
2307,12609,0,Fuchs,Q,Raylene,NA,PO Box 3927,,Glendive,MT,59330
1991,1991,0,Abike,F,Gootherts,72,Warnke St,3b7,Leiter,WY,82837
11493,31346,376256283,Giroux,,Fadun,737,Gavriel,1y4,Potthill,ID,83853
3138,3138,0,Fialkowski,M,Seok,520,Monem Pkwy,1z6,Christiansted,VI,823
10106,20467,0,Sallyann,J,N,90,Ardine Street,3s7,El Paso,TX,79935
17678,17678,0,Yatron,K,Knoesel,541,Railey Avenue,6i5,Kenyon,RI,2836
7383,15039,723440041,Schreiberg,A,Merline,935,Mastrodimitrio,2i3,Waterbury,CT,6721
15776,27193,361610383,Dyan,X,Maus,NA,PO Box 3639,,Chatham,NJ,7928
19782,29617,535462634,Commazzi,,Zampell,344,Mainoo St,4z7,Riecville,IA,50466
13866,27847,432857811,Kanemoto,P,Kapella,309,Hokllett Street,5y7,Dixmont,ME,4932
9299,9299,0,Gantner,E,Yetung,652,Czeczor St,0i8,Rentiesville,OK,74459
5574,5574,726315384,Relo,F,Wood,763,Harriws Parkway,0x7,San Juan,PR,901
16475,34741,675045662,Marchesini,B,Merchant,540,Amgad Street,3y1,Mount Royal,NJ,8061
873,11264,0,Wegstein,,Tingyu,662,Galletta Avenue,1p7,Fort Washakie,WY,82514
14859,28174,765253345,Rahison,G,Guercioni,713,Marjie Road,4c6,Clayton,DE,19938
7761,7761,0,Bayraktar,,Hartmeier,NA,PO Box 3761,,Ndw Haven,CT,6503
9002,11533,550886244,Campant,,Podwalny,656,Ritchey Lane,7u0,Washington,DC,20380
19363,34786,631713782,Bruner,R,Holzwarth,43,Felmlee Ave,1k1,Constable,NY,12926
615,615,521785237,Curwen,M,Emeline,28,Gacon Avenue,4v1,Wilmington,DE,19808
11013,16777,136845886,Purkiss,I,Larato,349,Pokrywa Rd,5d5,vCharlotte,NC,28214
11135,29043,0,Bondaryk,T,Lineryte,193,Shixian Ave,1d4,Mc Minnville,TN,37110
14342,33117,630724613,Aiub,,Vandommele,NA,PO Box 4556,,Menomonie,WI,54751
2127,10154,0,Grande,B,Boler,299,Vettese,3l2,Egypt,AR,72427
6732,10260,480482533,Rayonez,C,Daugirda,301,Hite,4u2,Millersville,MD,21108
14186,14186,0,Irmhild,J,Langager,634,Beavington,8h3,Ravencliff,WV,25913
7492,12761,0,Idssa,,aSarni,642,Dekoning Lane,4n1,Roslyn,WA,98941
8929,8929,512163623,B,J,preeitt,254,Ac St,500000000,Elba,ID,83326
9732,9732,665472205,Sehgal,B,Jadwiga,237,Godart,5b3,Manteo,NC,27954
8678,8678,110022186,Medved,K,Guignon,821,Azad Street,6z3,Valdez,NM,87580
12219,12697,0,Wiggs,M,Petit,650,Sixt Ln,3z3,Upper Fairmount,MD,21867
9544,9544,0,Merly,,Emdia,707,acchetta Rd,6g8,Clawson,UT,84516
5470,5470,0,Mokntjoy,P,Halina,137,Grs Road,1t5,Portland,ME,4105
4652,4652,752738776,Menashi,B,Sakdiah,938,Pacas Street,4h4,High Point,NC,27262
11987,29784,156246533,Molly,U,Burness,912,Ashil Street,4w8,Exeland,WI,54835
4197,10420,640270321,Schallenberg,,Ambrosino,768,Blomme St,0k2,Lowland,TN,37778
10406,28233,386834041,Nemoto,G,Margeaux,NA,PO Box 636,,Baton Rouge,LA,70884
8674,8674,713628401,Winslow,B,Ex,897,Adham Street,0g3,Roberston,WY,82944
4866,24603,622706151,Rantala,C,Parzych,109,Wareham Pkwy,1n4,Kosrae,FM,96944
8225,8225,263406420,Denler,Q,Brault,602,Bencia St,1s1,Kosrae,FM,96944
6447,6447,0,Arden,,Shamshad,101,Lunceford St,5h7,Charleston,WV,25364
10677,10677,354536432,Jodry,P,Doemer,481,Rajwant Street,6m0,Des Moies,IA,50398
14408,15789,0,Desilets,Z,Hastings,650,Khamis Ave,2r1,Dallas,TX,75211
14722,14722,0,Fumiro,Z,Ghani,319,Neill Road,2v8,Sonoma,CA,95476
18178,18178,0,Jooeuin,Q,Razzari,93,Pelletier Avenue,4i4,New Rochelle,NY,10801
13519,15893,445205403,Mager,I,Marcantoine,104,Buswell Rd,6q3,Kosrae,FM,96944
10397,27830,657567404,Phakde,Q,nishiwaki,778,Khullar Ln,4g6,Zanesfield,OH,43360
17377,17377,523340781,Disbennett,H,Lokken,324,Jarwe St,5x7,Etna,NH,3750
13740,13740,0,Esme,O,Zenda,384,Vattilano St,6z4,West Willington,CT,6279
14389,14389,420440880,Nai,T,Tsou,860,Changaris Road,0i7,Grawn,MI,49637
5101,5101,186071001,Klugman,,Carrion,52,Bernardin Street,0j3,Mills,NE,68753
8210,21062,661111178,Anselme,E,Lemer,NA,PO Box 1085,,Mapleville,RI,2839
4625,21204,427330782,Riffi,D,Dubinsky,857,Lavadinho Street,2k3,Chehenne,TN,82002
412,412,288257717,Rozalen,,Clausse,124,Mostert Avenue,5h1,Summit,NJ,7902
16636,16636,566123231,Kid,M,rinnen,166,Ruddie Rd,7p5,Rebno,NV,89503
19189,19189,637507865,Pesqueira,E,Cusack,7,Tullio Avenue,3i7,Angeles,PR,611
12555,12555,251352312,Trull,F,Natascia,61,Egional Ave,0b8,Agana,GU,96912
14263,14263,541463581,Heoh,W,Nadya,523,Elonore Street,1y2,Knoxville,TN,37912
12736,12736,723825683,Meester,E,Rowena,293,Majer St,8v6,Little Rock,IA,51243
232,1078,760870838,Foertig,L,Forester,474,Reinoehl St,3c1,Odessa,MN,56276
15195,15195,112873504,Marcy,T,Kaethe,166,Herlinda Road,0p0,Omaha,NE,68154
15663,32663,363055607,Spagnola,H,Osentowski,249,Larine Street,3t3,Kosrae,FM,96944
11132,18525,714368062,Junichi,N,Guarano,103,Krzyzecki Parkway,1z3,Saint Joseph,MO,64504
10617,27447,175711786,Frontini,,wQuillen,979,Silverstein St,7a7,Kailua Kona,HI,96745
16021,22531,0,Rinko,V,Shannan,385,Grannie St,5m2,Kosrae,FM,96944
2514,7137,731251552,Queb,Z,Blenkarn,378,Gilray,5x5,Tampa,FL,33612
4634,11079,371133504,Wanja,I,Takei,399,Sobchuk Avenue,0o1,Sergeant Bluff,IA,51054
13391,13391,407214555,Jochum,H,Immordino,783,Neuman Street,1c4,Agana,GU,96911
18239,37753,280850772,Schloff,,Demaris,885,Quantrill Ave,3m7,Christiahnsted,VI,823
3236,3236,556436866,Salvia,,Verenz,NA,PO Box 4640,,Cobalt,CT,6414
2043,2043,0,Ricki,D,Emilda,879,Samir,2l3,Scammon,KS,66773
9287,12359,770624386,Yow,M,Hideyuki,414,Smelek Street,0u3,East Detroit,MI,48021
15021,15021,0,Janine,,Karola,937,Louaris Av,3q7,Bremertown,WA,98312
7146,24244,207712613,Strobl,G,Demone,847,Roffingo Rd,1x1,Saint Marys,DC,66536
1011,1011,0,Ramaprakash,P,Fella,618,Hogshead Street,1q0,Colton,SD,57018
13764,30348,0,Bozica,G,Fulton,381,Vece Street,7d7,Kansas City,MO,64195
2833,2833,687517433,Karhuniemi,E,Kajimoto,613,Ekaterina Ave,3m5,Agapa,GU,96911
17524,17524,0,Raimondi,B,Naimpally,167,Mistrulli Parkway,1s2,Weston,MO,64098
12879,12879,408108653,Grader,F,Oshaughnessey,500,Morawietz Pkwy,7r3,Moncks Corner,SC,29461
1085,1085,0,Tamara,B,Cafe,NA,PO Box 2156,,Ripon,WI,54971
15654,15654,0,arge,J,Strope,503,Weitzel Lane,0y5,Valley Forge,PA,19482
12266,12266,0,Lenehan,S,Siebe,90,Iris Rd,5r4,Peever,SD,57257
7687,12357,621485833,Kruyswijk,T,Auyry,NA,PO Box 2442,,Pompano Beach,FL,33060
15222,15222,413555114,Govi,L,Waghorne,747,Tray Rd,4h8,East Galesburg,IL,61430
19194,19194,376142502,Solt,L,Odgers,171,Wardley Road,1a5,Joseph City,AZ,86032
10634,10634,0,Bucho,,Roswati,978,Schooli Avenue,6j7,Cloudcroft,NM,88350
3716,16917,0,Simianer,I,Pansegrau,996,Gaston Rd,6i1,Lake Tomahawk,WI,54539
11600,29931,0,Shang,,Striewe,84,Sammon Street,5d1,Lomax,IL,61454
1257,1257,0,Ermey,T,Rothweiler,983,Survey,5b4,Mc Farland,WI,53558
17059,17059,0,Fram,C,Zukosky,732,Goy Lane,2k1,Webster,ND,58382
1258,11122,0,Sonny,Q,Elkaim,240,Kember Avenue,1b5,Leuvering,MI,49755
3451,9609,534431037,Clara,B,Helmling,NA,PO Box 3741,,Montpelier,VT,5602
8775,13671,206412605,Mokkarala,A,Hwan,602,Lapora Parkway,4h6,Farmigton,AR,72730
16981,21627,0,Escobar,X,Komadori,206,Leloireux Parkway,5p1,havour,WI,54516
10203,18866,375214174,Seguin,K,Brita,987,Starkovich Rd,4o5,nc Cormick,SC,29835
3385,20610,0,Rothgery,J,Herradon,721,Kempski Ave,2y6,Horse Creek,WY,82061
16147,26497,0,Shou,B,Dmuchalsky,327,Valenziano Avenue,2d7,Dupo,IL,62239
9142,9142,0,Lillian,,Leisee,935,Allouard Ln,2q1,Frederica,DE,19946
5961,23761,316812007,Kempken,X,Pepperrell,929,Hernandes Rd,3a3,Memphis,TN,38161
1569,15874,645750825,Simulation,E,Finnigan,935,Kriegel Ln,3i0,Hayward,WI,54843
2426,15539,0,Andrade,U,Gamio,227,Mayes Parkway,0x6,Jenkinsville,SC,29065
6722,16940,412160426,leber,L,Sharla,NA,PO Box 4326,,Pequabuck,CT,6781
19538,29333,668135283,Bonato,S,Fidele,131,Motsinger,6t5,Kosrae,FM,96944
8851,8851,142101510,Kaappo,,Nanda,NA,PO Box 2155,,Vieques,PR,765
10953,10953,654781607,Bonas,T,Watte,588,Ewssen Road,5u0,Frederiksted,VI,841
15901,15901,426174487,Phommakesone,,Tverdoch,600,Jason Street,0v3,Honolulu,HI,96825
11847,25112,324362481,Compston,C,Miomon,750,Grosse Avenue,0j4,Pine not,KY,42637
2744,2744,0,Bowyer,R,Bucci,126,Krishinkumar Avenue,8l7,Kosrae,FM,96944
3095,3095,545668021,Hanspeter,I,Jurdik,963,Christof,4u4,Bangor,CA,95914
12723,31979,407181642,Charraud,B,Yueshun,819,Masessa Rd,6u4,Pzatterson,AR,72123
14822,14822,124162752,Oppizio,,Sheth,50,Leontyne Ln,3i4,Amherst,NE,68812
1911,18008,0,Frederigo,B,Preusse,705,National Avenue,7c0,Lajas,PR,667
14656,18845,0,Cridge,I,Ekanayake,679,Coffland Street,1d5,Gilead,NE,68362
18459,18459,376801747,Reinwald,L,Riema,313,Cargnoni Avenue,8g7,Orleans,VT,5860
15205,15205,423458005,Lukshis,Y,Zincone,843,Maidn Lane,5c8,Geraldime,AL,35974
15045,15045,0,Graz,X,Meggi,961,Terhorst St,2t3,San Juan,PR,912
1675,1675,0,Gulli,H,Katsusada,452,Torres Avenue,6w1,Sandy Spring,MD,20860
865,865,0,Chivers,L,Gugelman,440,Louladakis Pkwy,0i3,Topeka,KS,66610
16647,16647,367653124,Susan,A,Rodosevich,248,Tisha Parkway,7r3,Cecil,AR,72930
9076,9076,0,Niedra,U,Colburn,120,Venguswamy,4t7,Little Rock,AR,72219
18211,18211,718257483,Souther,,Nuha,761,Shunichiro Pkwy,4w1,Washington,DC,20530
17911,17911,358583787,Zamri,W,Charyl,70,Gardina,2h3,Binford,ND,58416
5287,5287,0,Kac,Q,Enriq,961,Junker Avenue,2n7,Fort Wayne,IN,46800
2228,2228,483387188,Tosh,B,Craig,57,Kuniyo Street,8u1,Matthews,NC,28105
16927,32840,0,Schuh,K,Asberry,604,oJrie,2c4,jontgomery,AL,36124
10348,10348,644067146,Stracener,Z,Uldine,751,Tetrault Ave,0q8,Denver,CO,80264
17236,28416,745442752,Brand,,Milner,439,Birch Parkway,6i4,Sacramento,CA,94285
3483,3483,457183227,Nidzieko,M,Barbut,34,Tish,3z5,Carsonville,MI,48419
12393,14575,534278721,Yoh,X,Appolito,41,Soulsby Ln,8m7,Louisville,KY,40207
15035,15035,641143352,Eloise,,Whatley,241,Yrnor,100000,Wilmington,DE,19808
5463,5463,307600356,Lumiree,,Priest,589,Hellenes,7f8,Berthold,ND,58718
8051,8051,262434354,Ventimiglia,K,Iniesta,182,Phalen Road,6w6,Clintwood,VA,24228
8037,18335,0,Baugdw,N,Vasseur,115,Marjolein Avenue,3s4,Mobridge,SD,57601
11376,11376,122183444,Myung,L,Moxley,465,Loay Ln,1l4,Arpin,WI,54410
5983,16469,301533651,Waldren,,Nuessle,682,Karas Street,0z4,Fountain Inn,SC,29644
1131,8734,513058538,Swinney,P,Basse,706,Raedah Road,0s2,Wellsboro,PA,16901
7492,20700,0,Sarni,,Iasa,643,Dekoning Lane,4n1,Roslyn,WA,98941
11864,11864,0,Ryde,Z,Winchester,12,Dellabough Rd,0y7,Parthenon,AR,72666
18309,18309,0,Mickel,R,Angelle,893,Horkey St,1m7,Whiteriver,AZ,85941
14383,27231,360428214,Weikang,K,Corujo,483,Misslitz Street,1t6,iami,FL,33194
5934,5934,615662515,Tyack,X,Nickolas,739,Crego Avenue,1v7,Wibaux,MT,59353
12672,14562,748122824,Bilansi,N,Louisrene,264,Sondueimer Avenue,2j4,Montgomery,AL,36194
10622,10622,0,Genga,F,Kazo,227,Tamo,8k5,Kinta,OK,74552
19685,19685,364178613,Norczen,B,Crystie,94,Saralah St,7n2,Berlin Heights,OH,44814
4975,8191,0,Solkov,,Biggs,321,Laury Avenue,5y7,Gold Bar,WA,98251
4430,4430,0,Cavender,,Cafferty,862,Marghetis Street,3r0,Maher,CO,81421
5140,5140,735832305,Salvin,S,Genna,44,Chalk Rd,3000,East Wilton,ME,4234
18155,34360,555857253,Royds,J,Furlow,241,Lisah Street,7t7,Beebe Plaun,VT,5823
14876,14876,352621275,Auria,B,Tungming,918,Gannatal Rd,1f3,Pisgah,AL,35765
917,7543,680060675,Spieler,L,Lagomarsino,588,Kruzil,2c0,Elizabeta City,NC,27909
18900,24138,0,Gloege,U,Earle,885,Montero Ln,1q7,Whitehouse,NJ,8888
11147,11147,684331405,Eyrignoux,I,Graham,918,Bondioli,4b6,Stillwater,OK,74077
15970,35759,733072045,Leonora,O,Traxler,182,Durfee,3n0,Huntington,VT,5462
17109,17109,0,Pfannenstiel,G,Huetter,409,Gillo Road,3k3,Washington,DC,20060
5391,18571,634327210,Shipon,J,Forterre,23,Pommainville,0v2,Mount Gilead,NC,27306
4813,4813,0,Trittler,V,Corsale,204,Dahlinger Ln,1y1,Metairie,LA,70005
15285,15285,634542452,Edlin,S,Buseman,542,Brennen Avenue,4y1,Oviedo,FL,32766
2390,2390,212488122,Yue,N,Yauch,345,Jaworski St,0f2,Hoodsport,WA,98548
353,353,0,Piperno,A,Neuhaus,385,Kadi Ave,7i2,Piermont,NH,3779
1730,1730,0,Manteau,W,Esinai,742,Prchal Avenue,0r5,Cumberland,RI,2864
2012,2012,0,Turery,H,Antuzzi,NA,PO Box 2532,,Iuka,KS,67066
7505,8258,510863187,Norakn,D,Foong,533,Yamahiro Avenue,0,narrington,DE,19952
13152,13152,534366623,Lachambre,O,Delzer,682,Louthan Rd,1l4,Cedar Hill,TN,37032
15411,33821,0,Brana,Z,Tower,969,Lynden Road,2j6,Johnston,RI,2919
8912,8912,631352428,Ditko,C,Veuillen,900,Taraschuk Parkway,7w6,Lagrange,WY,82221
543,543,238417782,Vosu,,Phommakesone,664,Delgado Pkwy,4f4,Montreal,WI,54550
1798,1798,426605744,Castronova,V,Goswell,771,Jacome Rd,2s4,Harwick,PA,15049
12445,12445,531628642,Marmur,M,Tasmowski,856,Rinaldi Pkwy,1a6,Fairview,WY,83119
2543,2543,275103713,Aphay,Z,Deitrick,885,Higaki Street,5y0,Chelan Falls,WA,98817
17575,17575,624362226,Atsuyuki,Z,Tihanyi,NA,PO Box 4060,,Frankford,DE,19945
14682,28337,478856621,Hinkley,A,Sharena,447,Yach,1k6,Honolulu,HI,96840
11213,22926,246601444,Egland,Q,Westerteicher,696,Houze Parkway,0y4,Piney Flats,TN,37686
7089,8667,0,Ferwerda,I,Mousseau,657,Parlee Avenue,7i1,Harbesob,DE,19951
19774,21643,480031604,Lorang,G,Tou,550,Futrell Parkway,7z6,Fresno,CA,93760
7766,7766,0,Noboru,Z,Eunji,161,Schleeter Ln,8m0,Cannonsburg,MI,49317
5151,7676,725484380,Sheffield,V,Aspinall,781,Slattendale,1w1,Pocatello,ID,83202
8051,9037,562434350,Ventimitlia,K,Iniesta,282,Phalen Road,6w6,Clintwood,VA,24228
8082,27979,708582346,Mynott,U,Berl,21,Hercher,1s0,Saint Gabriel,LA,70776
7986,24920,128675658,Brocato,E,Pirotta,450,Haeger Lane,3z8,Barclay,MD,21607
18167,18167,0,Degrande,T,Ringor,301,Wor Avenue,6q4,Rochester,MN,55901
17831,34790,135671766,Pap,X,Krysia,150,Boaden Rd,3c3,Portage,PA,15946
16955,31465,0,Noder,F,Mysore,263,Dsahai Street,8l5,Washington,DC,20082
19498,19498,0,Bank,Y,Bernoske,622,Woelki Avenue,3a4,Southbury,CT,6488
15012,31692,332715210,Gamble,Z,Cocuzzo,230,Mirza Avenue,4i7,Bowlus,MN,56314
12305,17890,331102148,Morgancavallaro,,Ic,357,Esgtervina Parkway,5q6,Lanark,IL,61046
5532,5532,607743551,Keo,J,Fritze,840,Donnet Ave,1y4,Pratts,VA,22731
5102,5102,0,Wilfried,U,Maderas,42,Rino Ln,2w2,Ohiopyle,PA,15470
8932,8932,654574512,Ghidossi,N,Buchwald,447,Reichelderfer Lane,6z2,Gaither,MD,21735
4313,7590,255364864,Mcconaghay,W,Walton,842,Aridatha St,3x5,Nashua,NH,3062
2843,2843,638623555,Ines,,Subramaniam,259,Hodson St,1z2,Newport News,VA,23612
15594,20266,628270815,Stpierre,I,Ronaldo,826,Jiam Road,2n6,Burnips,MI,49314
3602,5748,355881057,Dedie,,Vailloud,151,Nascone Street,1j1,Exchange,WV,26619
6573,6573,702687301,Farquhar,C,Georgine,730,Trujillo Ave,6i6,New Haven,WV,25265
10085,26171,570275857,Rust,Y,Humphry,927,Gisele Avenue,8m2,Des Moines,IA,50393
5193,5193,454270571,Currer,E,Orca,902,Ziems Street,1r2,Orange Springs,FL,32682
9735,9735,255364658,Fiolipelli,X,Cabrray,NA,PO Box 4429,,Spearfisd,SD,57783
16661,16661,258518510,Swinkels,E,Niti,514,Marty Avenue,5n7,Phoenix,AZ,85067
16260,25645,682642406,Homar,Q,Maple,182,Grisier Road,5w7,Ashton,NE,68817
15361,15361,0,Reichenberger,E,Suman,877,Juanell Street,0y5,Kosrae,FM,96944
10955,17358,0,Rodenfekls,,Melendrez,505,Audrienne Avenue,0h7,Vinton,OH,45686
8158,23758,0,Notre,,Yusnani,968,Schmoe Pkwy,3d0,Arab,MO,63733
6678,12608,554132608,Deborah,P,Clean,840,Kennard Avenue,8y1,Lewis,NY,12950
12186,18705,110738631,P,,Flowers,39,Shugong St,1d1,Omaha,NE,68103
4163,13741,578355701,Mcconenll,J,Svedman,943,Shirleyann Road,4j7,New Castle,DE,19720
11953,21515,102808508,Nickmans,H,X,242,Schonfisch,500000,Bradford,PA,16701
19102,19102,662091308,Mcveety,F,Marleah,324,Gery Pkwy,2n4,Santa Fe,NM,87509
10984,10984,0,Pujara,C,Yukwha,297,Mario St,6g2,Madison,WI,53787
19723,28393,158784873,Buironw,B,Larmour,195,Lnehn St,4s6,Hazen,AR,72064
2331,2331,561367470,Dangelo,B,Tarnow,450,Contardo Road,5y3,Oakfield,ME,4763
2800,2800,333523768,Hoyland,Z,bvrnhar,375,Poh Lane,7w7,Baton Rouge,LA,70818
16422,28723,20553346,Siobhan,V,Triplehorn,376,Nadi Rd,2f2,West Springfield,NH,3284
11773,11773,744135141,Elston,V,Chocs,664,tiustino Rd,8r4,Auburn,WY,83111
7845,7845,107666363,Dienna,P,Babasaki,NA,PO Box 1225,,Wiscasset,ME,4578
5187,12358,0,Dales,V,Basenese,70,Hannu St,7b6,Montgomery,AL,36199
364,364,733416661,Walton,,Nishitsuru,46,Teirtza Avenue,1f4,Bellingham,WA,98225
11990,29834,0,hSeil,F,Odbert,305,Crippen Ave,5s4,Cruz Bay,VI,831
15712,22211,657875841,Fanget,Y,Sammay,678,Rostenkowski Pkwy,1t0,Fort Collins,CO,80553
7648,7896,785310444,Purundar,K,Pirzada,723,Dimartino Lane,8n6,North Scituate,RI,2857
