CUID,RUID,SSN,first name,middle initial,last name,street number,street name,apartment number,city,state,zipcode
73,5697,733012584,Jozsef,A,Wkilmes,717,Phommakesone Ln,2a2,Harpers Ferry,WV,25425
73,73,733012584,Jozsef,A,Wilmes,717,Phommakesone Ln,2a2,Harpers Ferry,WV,25425
76,1234,0,Drud,,Maunder,623,Ewe Rd,4r5,sustin,OK,84839
76,76,0,Drud,,Maunder,323,Eew Road,4r5,Dustni,OK,74839
76,11206,0,Drud,,Maunder,323,Ewe Road,4r5,Dustin,OK,74839
79,79,0,Nadege,Q,Edda,12,Kardos Rd,2x3,Montgomery,AL,36142
79,16204,0,Nadege,Q,Edda,12,Kardos Rd,2x3,Montgomery,AL,36142
81,1999,0,Bernardete,,eTp,291,Gov Ave,7z2,Hawi,HI,96719
81,81,0,Bernardete,,Tep,291,Gov Ave,7z2,Hawi,HI,96719
83,5613,123763378,Rivalee,K,Marlu,789,Mularczyk Rd,6v0,Luxor,PA,15662
83,83,123163338,Rivalee,K,Marlu,789,Mularczyk Rd,6v0,Luxor,PA,15662
85,15561,424268448,Heikkila,B,Vladamir,52,Ani Pkwy,6a4,Arceibo,PR,613
85,14611,444468448,Heikkila,B,Vladamir,52,Anil Pkwy,6a4,Aracibo,CT,613
85,85,404568448,Heikkila,B,Vladamir,52,Anil Pkwy,6a4,Arecibo,PR,613
88,15991,0,Bobrowski,J,Glieevr,496,Velu Road,2q0,Petroleum,IN,46778
88,367,0,Bobrowski,J,Gliever,63,Monteath Street,3f6,Petroleum,IN,46778
88,88,0,Bobrowski,J,Gliever,396,Velu Road,2q0,Petroleum,IN,46778
91,10055,0,Menchaca,X,Benyaminseeyar,287,Dzioba Ave,2z8,Cushign,ME,4553
91,4985,0,Menchaca,X,Benyaminseeyar,282,Dzioba Ave,2z8,Cusghing,ME,4563
91,91,0,Menchaca,X,Benyaminseeyar,287,Dzioba Ave,2z8,Cushing,ME,4563
94,94,376722207,Thelen,,Yanaro,366,Ketchum Rd,8r0,oDcena,AL,35060
94,14300,376722447,Thelen,,Yanaro,865,Soomiah Avenue,2y2,Mesa,AZ,85201
96,96,0,Chinglong,T,Kapadia,660,Cha St,7u0,Horse Creek,WY,82061
97,106,223688556,Rayngay,U,Spudboy,840,Sumby Street,5p5,Georges Mills,NH,3751
97,97,223688556,Rayngay,U,Spudboy,840,Sumby Street,5p5,Georges Mills,NH,3751
99,99,564616710,Charleton,E,Frissora,34,Elenice Ln,4p1,Chavies,KY,41727
100,9767,638017150,Florencio,,Holiday,,PO Box 1458,,Cleatr Spring,MD,81722
100,100,638017150,Florencio,,Holiday,,PO Box 1458,,Clear Spring,MD,21722
102,102,316066311,Nivinski,K,Gundry,780,Hayden St,0a3,Hardy,IA,50545
103,103,225424131,Oquendo,,Pittner,174,Durran,3c7,Fallon,NV,89406
104,104,440713035,Sunaga,O,Arlee,263,Saifullah Road,8u4,Binghamton,NY,13900
105,14130,462448086,Galvez,F,Beals,146,Goefner Pkwy,2l4,Paw Creek,NC,28130
105,105,462448086,Galvez,F,Beakls,146,Goerner Pkwy,2l4,Paw Creek,NC,28130
105,5506,462448086,Galvez,F,Beals,146,Goerner Pkwy,2l4,Paw Creek,NC,28130
108,11987,150470630,Prochaska,F,Makela,243,Somerville Ave,6r7,Hatillo,PR,659
108,108,50470130,Prochaska,F,Makela,443,Somerville Ave,6r7,Hatillo,PR,659
108,13174,150470630,Prochaska,F,Makela,243,Somerville Ave,6r7,Hatillo,PR,659
111,111,764023625,Otremba,Z,Oaks,588,Corinne St,3c4,Munday,WV,26152
112,9014,224020004,Danh,U,Doudot,319,Hakeem Rd,3q7,Cruz Bay,VI,831
112,112,226040004,Danh,U,Doudot,319,Hakeem Rd,3q7,Cruz Bay,VI,831
114,114,727680644,Larodcca,K,beyer,,PO Box 283,,Staten Island,NY,10310
114,16925,727680644,Larocca,K,Pywell,,PO Box 283,,Staten Island,NY,10310
116,18375,628266055,Sihievano,A,spirakis,295,Demidenko Ln,6f3,Longislan,NC,28648
116,116,628266055,Schiepvano,A,Tate,295,Demidenko Ln,6f3,Longisland,NC,28648
116,19957,628266055,Schievano,A,Tates,295,Demidenko Ln,6f3,Longisland,NC,28648
119,119,0,Tatemichi,,Purdy,241,Ryszard Road,6g8,Smithfield,UT,84335
120,14379,521860303,Triana,R,Walker,960,Bilek Avenue,4v2,Jessup,MD,20794
120,12343,521860303,Triana,R,Walker,170,Bilek Avenue,4v2,Jessup,MD,20794
120,120,521860303,Triana,R,Walker,970,Bilek Avenue,4v2,Jessup,MD,20794
123,123,516660105,Nasrak,A,Enk,,PO Box 2405,,Rosedale,LA,70772
123,18107,576660305,Nasrak,A,Enk,,PO Box 2405,,Rosedale,LA,70772
125,7506,0,Dubourdieu,B,Jon,320,Vick,6b7,Grove Hill,AL,36419
125,5418,0,Dubourdieu,B,Jon,320,Vick,6b7,Grove Hill,AL,36419
125,125,0,Dubourdieu,B,Jon,320,Vick,6b7,Grove Hill,AL,36419
128,128,641156327,Wollen,W,Awbrey,904,Christinia,2x6,Humble,TX,77338
128,5935,641156327,Wollen,W,Awbrey,904,Christinia,2x6,Humble,TX,77338
130,130,0,Pascher,Q,jccombie,591,Khuon Ave,7.00E+05,Wakpala,SD,57658
130,14765,0,Pascher,Q,Mccombie,591,Khuon Ave,7.00E+05,Wapala,SD,57658
130,15600,0,Pascher,Q,Mccombie,591,Khuon Ave,7.00E+05,Wakpala,SD,57658
133,133,187485107,Brigido,F,Ranbir,985,Bijleveld Parkway,2i3,Popejoy,IA,50227
133,5036,187485107,Brigido,F,Ranbir,985,Bijleveld Parkway,2i3,Popejoy,IA,50227
135,12929,0,Nataline,,Bigler,11,Kyl Pkwy,1n3,Providence,RI,2908
135,135,0,Nataline,,Bigler,11,Kyl Pkwy,1n3,Providence,RI,2908
137,137,0,Juskevicius,B,Fross,278,Azizian Rd,8i7,Mendota,CA,93640
137,8879,0,Juskevicius,B,Fross,278,Azizian Rd,8i7,Mendota,CA,93640
139,139,736074801,Zbigniew,C,Gourd,196,Schellenberger Road,1.00E+02,Springville,CA,93208
139,11730,736074801,Zbigniew,C,Gourd,196,Schellenberger Road,1.00E+02,Springville,CA,93208
141,141,643011603,Hiyt,,Crozet,397,Giulio St,2b8,New York,NY,10047
141,14473,643011103,Hit,,Crozet,397,Giulio St,2b8,New York,NY,10047
143,143,206783526,Yungchung,U,Sibert,213,Bannan Road,3r4,Gradyville,KY,42742
143,19318,206703026,Yungchung,U,Sibert,212,Bsannan Rd,3r4,Gradyville,KY,42742
143,18471,206703026,Yungchung,U,Sibert,213,Bannan Road,3r4,Gradyville,KY,42742
146,1843,0,Pow,,Nigam,943,Osbert Street,6l4,Denison,IA,51442
146,4869,0,Pow,,Nigam,946,Osbert Street,6l4,Denison,IA,51442
146,146,0,Pow,,Nigam,943,Osbert Street,6l4,Denison,IA,51442
149,16567,284778510,P,S,Caballero,820,Chiiwen Rd,3.00E+05,Smithfield,WV,26437
149,149,284778510,Pfander,S,Caballero,220,Chiiwen Rd,3.00E+05,Smithfield,WV,26437
151,151,346673551,Winnipeg,C,Gipson,381,Sanft Rd,1u4,Mesita,CO,81142
152,152,175442806,Wydronek,H,Rebmann,257,Hartell Avenue,3f5,Black Hawk,CO,80422
153,153,643157221,Kraft,,Hiawatha,476,Brossmabn Rd,1b7,Coventry,RI,2827
153,7065,643157221,Kraft,,Hiawatha,476,Brossman Rd,1b7,Coventry,RI,2827
153,5693,643157221,Kraft,,Hiawatha,476,Brossman Rd,1b7,Coventry,RI,2827
156,9041,732523716,Ondrake,K,Lionel,860,Stutz Street,0v3,Fortine,MT,59918
156,156,732323786,Ondrake,K,Lionel,860,Stutzb Street,0v3,Fortine,MT,59918
156,10635,732523716,Ondrake,K,Lionel,860,Stutz Street,0v3,Fortine,MT,59918
159,10012,0,Brady,Y,Hasnain,743,Piac Parkway,2c0,Spokane,WA,99258
159,159,0,Brady,Y,Hasnain,743,Pac Parkway,2c0,Spokane,WA,99258
161,18067,0,Y,A,Skof,847,Arballo Rd,0o2,Calvert,AL,36513
161,13532,0,Yares,A,Skof,847,Arballo Rd,0o2,Calvert,AL,36513
161,161,0,Yares,A,Skof,847,Arballo Rd,0o2,Calvert,AL,36513
164,164,0,Doaaldson,I,Askold,509,Mixhiels Street,6t8,Hillsboro,IN,47949
164,9004,0,Donaldson,I,Askold,909,Michiels Street,6t8,Hillsboro,IN,47949
166,10994,663731162,Notter,E,Louka,408,Yamagishi,3y8,Hopkins,SC,29061
166,166,663731162,Notter,E,Louka,408,Yamagishi,3y8,Hopkins,SC,29061
168,168,0,Tranter,,Think,672,Tilly Lane,8a6,Sarasota,FL,34242
169,336,147111050,Ruhanna,,Andros,764,Lications Rd,3k0,Bonesteel,SD,57317
169,1127,147111050,Ruhanna,,Andros,764,Lications Rd,3k0,Bonesteel,SD,57317
169,169,147111050,Ruhanna,,Andros,764,Lications Rd,3k0,Bonesteel,SD,57317
172,172,747025531,Braneff,P,Kendal,591,Lyndalu Street,7p0,Baltimore,MD,21223
173,173,0,Eladio,V,Chinrungrueng,699,Fite Road,7a1,Minden,IA,51553
174,6255,777735683,Pullen,G,Victoire,988,Cardwell Avenue,4h0,Milford,IL,60953
174,174,777735683,Pullen,G,Victoire,988,Cardwell Avenue,4h0,Milford,IL,60953
176,12133,415154370,Gulotta,,Perabjot,810,Wieslawa Pkwy,1y8,Wickliffe,KY,42087
176,176,415154370,Gulotta,,Prabjot,810,Wieslawa Pkwy,1y8,Wickliffe,KY,42087
178,178,0,Nad,,Chalk,491,Wosser Avenue,5t7,Frederiksted,VI,840
178,11904,0,Nad,,Chalk,491,Wosser Avenue,5t7,Frederiksted,VI,840
180,4137,632786006,Proffit,L,Archo,116,Porcher,6b7,Cambridge,VT,5444
180,180,632786006,Proffit,L,Archo,116,Porcher,6b7,Cambridge,VT,5444
182,182,155231823,Wass,C,Hao,342,Curly Road,2b0,Granville,IL,61326
183,183,756145080,Nakashima,P,Jainabee,888,Teissieres Street,3o4,Agaa,GU,98929
183,17565,756145080,Nakashima,P,Jainabee,818,Teissieres Street,3o4,Agaan,GU,96929
183,19420,756145080,Nakashima,P,Jainabee,838,Teissieres Street,3o4,Agana,GU,96929
186,186,661835153,Fa,K,Killer,166,Sachi Pkwy,4w0,Orlean,VA,22128
187,16960,418777846,Michaelwoo,,Bielecki,463,Meta Rd,1t6,Woodville,WI,54028
187,187,418777846,Michaelwoo,,Bielecki,463,Meta Rd,1t6,Woodville,WI,54028
189,5988,0,Calado,P,Leml,,PO Box 4483,,Greenville,SC,29602
189,189,0,Calado,P,Leml,,PO Box 4483,,Greenville,SC,29602
191,191,234318080,Berberyan,,Bertalot,704,Bisbee Road,3y3,Millsboro,PA,15348
192,2252,246252567,Foods,U,Paulin,,PO uBox 2255,,Winslow,AZ,86047
192,192,276256567,Foods,U,Paulin,,PO Box 2255,,Winslow,AZ,86047
194,194,712180846,Davoud,,Levieux,181,Cappucci,1b1,Clementon,NJ,8021
195,195,0,Jaimie,E,Elslander,,PO Box 2009,,Kosrae,FM,96944
196,196,785863338,Janace,H,Somogy,220,Emelyne Avenue,1m8,Elm Creek,NE,68836
196,2720,785863338,Janace,H,Somogy,220,Emelyne Avenue,1m8,Elm Creek,NE,68836
196,11289,785863338,Janace,H,Somogy,220,Emelyne Avenue,1m8,Elm Creek,NE,68836
199,2878,403852742,Burtch,L,Elwain,490,risto Ave,5f1,Cruz Bay,VI,830
199,199,403852742,Burtch,L,Elwain,490,Kristo Ave,5f1,Cruz Bay,VI,830
201,7632,320481872,Hodgens,I,Ribeiro,727,Couron St,2k5,Richwood,NJ,8074
201,9197,320481818,Hodgnes,I,Ribeiro,791,Couron St,2k5,Richwood,NJ,8074
201,201,320481872,Hodgens,I,Ribeiro,797,Couron St,2k5,Richwood,NJ,8074
204,204,603631030,Stum,E,Nakada,705,Pretzer St,5f4,Newark,DE,19711
204,3269,603681080,Stum,E,Nakada,755,Pretzer St,5f4,Newark,DE,19711
204,18366,603631030,Stum,E,Nakada,755,Pretzer St,5f4,Newark,DE,19711
207,207,218272724,Manco,,Munaz,,PO Box 746,,Altamont,MO,64620
208,208,0,Bowley,A,Huasheng,796,Keit Parkway,5u5,Pocono Manor,PA,18349
209,209,557750443,Mew,,Estel,985,Lebar,8i7,Colerain,NC,27924
210,4330,557514236,Riou,T,Fogelin,76,Cliffo Ave,7t4,Deer Lodge,MT,59722
210,210,557514236,Riou,T,Fogelin,76,Cliffo Ave,7t4,Deer Lodge,MT,59722
212,212,472785425,Lin,Q,Chelsie,174,Rizewiski Road,4p8,Marianna,FL,32446
213,213,607408481,Ridenhour,E,Frapier,516,Johnathon Street,3y8,Wyoming,RI,2898
214,15575,302452037,Acers,K,Philipson,,PO Box 388b8,,Uniontown,KY,42461
214,842,302452037,Acers,K,Philipson,949,Leahey Pkwy,8.00E+07,Uniontown,KY,42461
214,214,302452037,Acers,K,Philipson,,PO Box 3888,,Uniontown,KY,42461
217,13322,612023540,Collaerts,H,Gente,,PO Box 166,,Kosrae,FM,96944
217,217,612023540,Collaerts,H,Gente,,PO Box 166,,Kosrae,FM,96944
219,5240,0,noya,T,Ecklebe,696,Beckham Street,0k5,Ewin,SD,57233
219,219,0,Moya,T,Ecklebe,696,Beckham Street,0k5,Erwin,SD,57233
221,221,0,Lucibello,M,Crossley,,PO Box 2123,,Liberty,KS,67351
222,1526,645303045,Sarbiah,T,Krystalle,280,Bertorelli Rd,0u7,Deerfield Beach,FL,33442
222,222,635303845,Saribah,T,Krystalle,285,Bertorelli Rd,0u7,Deerfield Beach,FL,33442
222,16173,645303045,Sarbiah,T,Krystalle,280,Bertorelli Rd,0u7,Deerfield Beach,FL,33442
225,225,0,Szelewski,,Satsuko,537,Canfield Lane,0k5,Travelers Rest,SC,29690
226,226,0,Harrelson,W,Clestell,787,Gurvinder St,1v4,Louisville,CO,80027
227,227,661457344,Hamlen,E,Narin,416,Martoinson Street,8s7,Beaver Crossing,NE,68313
227,2796,662457044,Hamlen,E,Narin,414,Martinson Street,8s7,Beaver Crossing,NE,68313
229,9742,0,Mallik,O,Mariellen,525,Siouxie Street,0o7,Randolph,NE,68771
229,229,0,Mallik,O,Mariellen,525,Siouxie Street,0o7,Randolph,NE,68771
231,231,578320762,Scotti,C,Walther,43,Sweet Pkwy,3o8,El Paso,TX,79949
232,6938,863870838,Foertig,L,Forester,474,Reinoehl St,3c1,Odessa,MN,56276
232,232,760870838,Foretig,L,Forester,474,Reinoehl St,3c1,Odessa,MN,56276
232,1078,760870838,Foertig,L,Forester,474,Reinoehl St,3c1,Odessa,MN,56276
235,235,360261334,Portia,T,Kloepper,724,Pokusay Ln,2k6,Hamilton,MT,59841
236,236,228750801,Carsten,X,Staufenberg,48,Gauchon Ln,6y8,Frederiksted,VI,841
237,474,230378578,Murchie,E,Rozumna,56,Morganica Rd,8o0,Boggs,WV,26299
237,237,230878578,Murchier,E,Rozumna,56,Morganica Rd,8o0,Bodgs,VI,26299
237,6390,230878578,Murchie,E,Rozumna,56,Morganica Rd,8o0,Boggs,WV,26299
240,240,727258021,Hurst,W,Eef,907,Beasworrick Street,8w3,Fyffe,AL,35971
241,4805,0,Scaccia,T,Theral,,PO Box 2276,,Majestic,KY,41547
241,13923,0,Scaccia,T,Theral,,PO Box 2276,,Majesqtic,KY,41547
241,241,0,Scaccia,T,Theral,,PO Box 2276,,Majestic,KY,41547
244,15799,640703124,Chip,C,uSmanah,718,Snorri Ave,4h4,Mapleton,IA,51034
244,244,648783124,Sumanah,C,Chip,508,Faley Ave,1j0,Tolley,ND,58787
244,1567,648783124,Sumanah,C,Chip,508,Faley Ave,1j0,Tolley,ND,58787
247,247,677310513,Roudier,C,stephayn,419,Jaakoppi Ave,5h2,Eagle Next,NM,87710
247,15645,677310513,Roudier,C,Einhaeuser,419,Jaakoppi Ave,5h2,Eagle Nest,NM,87710
249,18737,765766318,Kimata,C,Pitawas,997,Haskamp Lane,2r3,Albany,TX,76430
249,1825,765766318,Kimaat,C,Pitawas,597,Haskamp Lane,2r3,Albany,TX,76430
249,249,765766318,Kimata,C,Pitawas,997,Haskamp Lane,2r3,Albany,TX,76430
252,252,0,Frisbee,G,Heydon,565,Mccoppin Avenue,4h8,Earlville,PA,19519
253,19779,0,Coppolella,,Fortson,686,Gavebns Rd,0l6,Long Beach,CA,90805
253,253,0,koppolella,,Fortson,486,aGvens Rd,0l6,Long Beacg,CA,90805
253,2705,0,Coppolella,,Fortson,486,Gavens Rd,0l6,Long Beach,CA,90805
256,256,660408236,Deggs,E,Kulachandran,563,Driggs Street,8z8,Linn,KS,66953
257,257,0,Ngocquynh,,Hornung,95,Halbach Street,5j1,Toledo,OH,43624
258,258,0,Ellyn,P,Horwood,424,Wiesmeier St,6d0,Sedona,AZ,86341
258,12675,0,Ellyn,P,Horwood,424,Wiesmeier St,6d0,Sedona,AZ,86341
260,260,0,Ewaschuk,H,Thai,5,Bennie Street,7j5,Ponte Vedra Beach,FL,32082
261,261,380374202,Hillenberg,O,Egea,592,Miley Ln,8s8,Maryland Line,MD,21105
262,262,0,Eugine,J,Farleigh,972,Kingsleyevans,7f2,Logansport,LA,71050
262,16808,0,Eugine,J,Farleigh,972,Kingwleyevans,7f2,Logaksport,LA,71050
262,8019,0,Eugine,J,Farleigh,972,Kingsleyevans,7f2,Logansport,LA,71050
265,265,482101580,Thurmond,W,Povio,568,Henshon Avenue,8.00E+04,Saint Hekens,KY,41368
265,17720,482101580,Thurmond,W,Povio,568,Henshon Avenue,8.00E+04,Saint Helens,KY,41368
265,14599,482101580,Thurmond,W,Povio,568,Henshon Avenue,8.00E+04,Saint Helens,KY,41368
268,268,664431878,Roma,R,Morocz,908,Broberg St,6j2,Woodbury,CT,6798
269,12239,0,Magrudeer,I,Lingar,77,Matkin St,4u8,Lyons,NE,68038
269,269,0,Magruder,I,Lingar,77,Matkin St,4u8,Lyons,NE,68038
271,271,0,Gelo,K,Mayenburg,,PO Box 3707,,Albuquerque,NM,87109
272,272,113467728,Molitor,H,Harville,315,Riles St,7r0,Saraland,AL,36571
273,273,504906627,siho,Z,Szeto,615,Majors Avenue,5h7,Spring Lake,NJ,7762
273,3737,504906627,Hsiho,Z,Szeto,605,Majors Avenue,5h7,Spring Lake,NJ,7762
275,9225,0,Labossiere,F,Julianto,624,Parveen St,0q7,Honolulu,HI,96836
275,275,0,Labossiere,F,Julianto,627,Pavveen St,0q7,Honolulu,HI,96836
275,493,0,Labossiere,F,Julianto,624,Parveen St,0q7,Honolulu,HI,96836
278,6295,0,Gower,J,Moldes,801,Cintz Parkway,1p0,Crosslake,MN,56442
278,8945,0,Gower,J,Moldes,803,Cintz Parkway,1p0,Crossalke,MN,56442
278,278,0,Gower,J,Moldes,801,Cintz Parkway,1p0,Crosslake,MN,56442
281,6502,0,Bahman,G,Winett,741,Moerk Street,0t5,Washams,NY,12990
281,281,0,Bahman,G,Winett,871,Moerk Street,0t5,Wadhams,NY,12990
281,4431,0,Bahman,G,Winett,841,Moerk Street,0t5,Wadhams,NY,12990
284,284,0,Emanatian,I,Nikolaou,,PO Box 1501,,Lenore,ID,83541
284,3515,0,Emanatian,I,Nikolaou,,PO Box 1501,,Lenore,ID,83541
286,286,442450222,Towny,,Petruzzella,776,Shirline,6u1,Halleck,NV,89824
286,13514,442450222,Towny,,Petruzzella,776,Shirline,6u1,Halleck,NV,89824
288,288,384854403,Briegel,K,Higgs,595,Brentley Street,1f3,Wahington,DC,20218
288,7610,484854453,Briegel,K,Higgs,595,Brentley Street,1f3,Washington,DC,20218
290,290,448303005,Janes,U,Jannie,152,Laquinta Road,5q1,Tempe,AZ,85284
290,2511,440403005,Janes,U,Jannie,152,Laquinta Road,5q1,Tempe,AZ,85284
292,292,227225824,Koeber,U,Hideo,219,Deters St,0b5,Hope,NM,88250
293,19828,0,Lambregts,u,Cookie,215,Imogene Road,6p6,El Paso,TX,79955
293,14440,0,Lambregts,Y,Cookie,215,Imogene Road,6p6,El Pao,TX,79755
293,293,0,Lambregts,Y,Cookie,215,Imogene Road,6p6,El Paso,TX,79955
296,296,0,Jasmin,Z,Vodia,650,Caralie Street,4l3,Lucerne,CO,80646
297,297,0,Major,T,Smillie,668,Kenmpster,0l8,Imlay,NV,89418
297,17140,0,Major,T,Smillie,668,Kempster,0l8,Imlay,NV,89418
299,4779,0,Ody,A,Jopri,224,Romelia St,4w1,Paradise,MI,49768
299,13216,0,Ody,A,Jopri,224,Romelia St,4w1,Paradise,MI,49768
299,299,0,Ody,A,Jopri,224,Romelia St,4w1,Paradise,MI,49768
302,5273,0,Stamback,Q,Kea,971,Huebsch St,8w7,Wsllcox,AZ,86644
302,15128,0,tSamback,Q,Kea,534,Solorio Avenue,7.00E+01,Willcox,AZ,85644
302,302,0,Stamback,Q,Kea,534,Solorio Avenue,7.00E+01,Willcox,AZ,85644
